expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
115,14,10,32,13,10,8,0,17,135,9,3,10,0,33,0,0,3,3,0,6,4,7,1,4,34,0,0,26,1,3,16,0,0,2,8,42,37,0,14,5,0,8,0
116,11,22,3,14,11,0,0,0,11,56,1,0,0,6,3,0,16,0,5,21,7,0,0,1,1,0,5,1,0,0,1,6,1,1,1,0,2,17,2,1,0,2,0
117,3,11,6,7,16,8,3,0,0,4,7,6,0,0,0,2,6,3,0,44,3,0,16,0,0,3,15,14,1,1,19,0,0,1,2,12,0,0,3,13,377,1,0
118,8,8,7,11,5,0,1,0,5,4,0,15,0,0,0,0,5,0,2,3,4,1,0,73,9,17,7,0,1,6,5,4,13,2,0,2,3,2,3,0,2,0,5
119,8,5,15,80,216,1,73,0,5,2,4,26,1,25,2,0,16,3,4,0,0,13,312,2,0,9,0,28,39,2,5,18,0,0,3,6,4,6,0,2,1,12,0
120,21,2,18,5,3,0,1,0,1,3,4,2,0,0,3,0,8,0,0,1,1,15,0,1,1,14,0,0,1,8,0,4,4,0,13,7,4,1,1,0,0,20,15
121,10,14,13,1,0,16,0,3,16,14,0,5,0,2,6,8,0,4,3,1,0,0,0,12,16,1,0,14,12,7,26,2,7,1,29,0,2,0,7,49,1,3,0
122,8,17,4,6,28,2,0,42,0,1,0,0,217,0,11,3,16,0,0,13,0,15,16,0,0,2,0,0,0,0,4,1,0,2,2,4,23,21,13,0,6,0,1
123,13,26,5,5,7,0,5,0,0,8,0,0,1,0,0,22,1,4,2,30,0,2,2,4,89,0,3,6,0,4,7,129,0,1,1,0,1,29,0,16,0,10,19
124,7,5,9,40,0,0,20,0,7,4,9,1,57,5,6,62,1,7,2,0,1,3,0,9,12,2,35,10,6,2,3,6,0,2,0,0,0,0,3,0,12,0,0
